SITE,DTS,COUNTID,LANE,DIR,SPD,AX,GW_TOT,HEADT,GAPT,LENTH,CS,AWT01,AWT02,AWT03,AWT04,AWT05,AWT06,AWT07,AWT08,AWT09,W1_2,W2_3,W3_4,W4_5,W5_6,W6_7,W7_8,W8_9,TYPE
405,20000110T120456,99700,1,1,82,2,7670,4.1,3.8,692,4,2940,4730,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,11
405,20000110T120458,99701,1,1,88,2,9570,1.9,1.5,737,4,5330,4240,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,11
405,20000110T120503,99702,1,1,85,4,23740,5.4,5.1,1780,5,5120,9120,5120,4380,0,0,0,0,0,520,520,485,0,0,0,0,0,1111
405,20000110T120509,99703,1,1,83,3,5780,5.8,5,768,4,1650,1150,2980,0,0,0,0,0,0,179,334,0,0,0,0,0,0,21
405,20000110T120729,99704,1,1,87,4,10650,4,3.9,1686,5,4550,2000,1630,2470,0,0,0,0,0,536,524,427,0,0,0,0,0,1111
405,20000110T120742,99705,1,1,89,4,8530,4.3,4.2,1841,5,4310,2270,1000,950,0,0,0,0,0,529,567,493,0,0,0,0,0,1111
405,20000110T120752,99706,1,1,89,4,9930,4.7,4.6,1779,5,4510,2100,2060,1260,0,0,0,0,0,561,549,518,0,0,0,0,0,1111
405,20000110T121028,99707,1,1,89,2,8400,3.1,3,770,4,3660,4740,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,11
405,20000110T121038,99708,1,1,84,4,3710,2.7,2.6,891,7,900,1020,930,860,0,0,0,0,0,251,396,75,0,0,0,0,0,112
405,20000110T121054,99709,1,1,97,5,11680,1.1,1,1478,6,4670,1970,1600,1780,1660,0,0,0,0,388,577,130,142,0,0,0,0,113
405,20000110T121119,99710,1,1,87,4,10590,2.2,2.1,1771,5,4280,4240,1240,830,0,0,0,0,0,461,633,474,0,0,0,0,0,1111
405,20000110T121135,99711,1,1,84,4,15700,3.3,3.2,1420,6,6280,3020,3140,3260,0,0,0,0,0,370,667,128,0,0,0,0,0,112
405,20000110T121206,99712,1,1,88,2,4160,5.5,5.4,773,4,2090,2070,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,11
405,20000110T121229,99713,1,1,91,3,3920,3.9,3.6,927,6,1440,1470,1010,0,0,0,0,0,0,318,408,0,0,0,0,0,0,111
405,20000110T121353,99714,1,1,90,2,8590,4.6,4.4,786,4,5460,3130,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,11
405,20000110T121358,99715,1,1,87,5,11500,5.2,4.8,1841,5,6310,2790,810,770,820,0,0,0,0,516,534,416,120,0,0,0,0,1112
405,20000110T121419,99716,1,1,90,2,11050,2.2,2.1,709,4,6840,4210,0,0,0,0,0,0,0,454,0,0,0,0,0,0,0,11
405,20000110T121442,99717,1,1,88,4,25440,6.4,6.2,1510,7,4190,9480,5680,6090,0,0,0,0,0,378,560,349,0,0,0,0,0,1111
405,20000110T121504,99718,1,1,84,2,8010,1,0.9,662,4,3860,4150,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,11
405,20000110T121505,99719,1,1,85,4,11510,1.3,1,1794,5,4830,3160,1890,1630,0,0,0,0,0,497,552,516,0,0,0,0,0,1111
405,20000110T121559,99720,1,1,86,2,6040,2.3,2.2,763,4,3460,2580,0,0,0,0,0,0,0,508,0,0,0,0,0,0,0,11
405,20000110T121648,99721,1,1,88,2,6180,2,1.9,731,4,3950,2230,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,11
405,20000110T121655,99722,1,1,88,4,13590,7.4,7,1846,5,5330,2660,2820,2780,0,0,0,0,0,565,565,473,0,0,0,0,0,1111
405,20000110T121720,99723,1,1,92,2,7780,2.1,1.9,753,4,5070,2710,0,0,0,0,0,0,0,498,0,0,0,0,0,0,0,11
405,20000110T121753,99724,1,1,90,4,24810,7.3,7.2,1441,6,5640,9040,5150,4980,0,0,0,0,0,376,679,131,0,0,0,0,0,112
405,20000110T121916,99725,1,1,85,2,6310,2,1.8,625,4,2540,3770,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,11
405,20000110T122034,99726,1,1,86,2,7570,3.5,3.3,716,4,2580,4990,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,11
405,20000110T122132,99727,1,1,87,5,14890,3.1,3,1273,6,5550,2510,2040,2390,2400,0,0,0,0,383,417,130,146,0,0,0,0,113
405,20000110T122228,99728,1,1,86,4,14090,1.8,1.7,1488,6,5190,4200,2320,2380,0,0,0,0,0,381,720,132,0,0,0,0,0,112
405,20000110T122248,99729,1,1,89,4,26110,2.3,2.1,1596,5,5320,6960,6450,7380,0,0,0,0,0,449,438,529,0,0,0,0,0,1111
405,20000110T122252,99730,1,1,92,2,6010,3.9,3.3,631,4,3530,2480,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,11
405,20000110T122416,99731,1,1,89,4,10510,2.1,2,1633,5,3750,3420,1690,1650,0,0,0,0,0,503,446,493,0,0,0,0,0,1111
405,20000110T122504,99732,1,1,88,4,14110,1,0.9,1479,6,5590,2980,2820,2720,0,0,0,0,0,379,710,135,0,0,0,0,0,112
